,소재지도로명주소,위도,경도,시도,시군구,기타,아침,점심,저녁,월,화,수,목,금,토,일,노인만 대상,운영시작,운영종료년도,폐업,급식일
264,경기도 부천시 석천로 16번길 50,37.48888053,126.7627779,경기도,부천시,석천로 16번길 50,0,1,0,1,1,1,1,1,0,0,1,2010,0,운영,5
265,경기도 부천시 성오로149번길 18,37.52592188,126.797798,경기도,부천시,성오로149번길 18,0,1,0,1,1,1,1,1,0,0,1,2010,0,운영,5
266,경기도 부천시 원미로 202,37.50075683,126.7952268,경기도,부천시,원미로 202,0,1,0,1,1,1,1,1,0,0,1,2010,0,운영,5
267,경기도 부천시 계남로 125,37.50890802,126.7626343,경기도,부천시,계남로 125,0,1,0,1,1,1,1,1,0,0,1,2016,0,운영,5
268,경기도 부천시 부천로136번길 27,37.49662816,126.7870258,경기도,부천시,부천로136번길 27,0,1,0,1,1,1,1,1,0,0,1,2013,0,운영,5
269,경기도 부천시 경인옛로 73,37.48004701,126.799948,경기도,부천시,경인옛로 73,0,1,0,1,1,1,1,1,0,0,1,2008,0,운영,5
270,경기도 부천시 성오로 172,37.52834853,126.7960269,경기도,부천시,성오로 172,0,1,0,1,1,1,1,1,0,0,1,2009,0,운영,5
271,경기도 부천시 도약로 146,37.50986436,126.7653852,경기도,부천시,도약로 146,0,1,0,1,1,1,1,1,0,0,1,2010,0,운영,5
272,경기도 부천시 고리울로 79,37.52705854,126.8248189,경기도,부천시,고리울로 79,0,1,0,1,1,1,1,1,0,0,1,2010,0,운영,5
273,경기도 부천시 삼작로 52,37.51975149,126.7664713,경기도,부천시,삼작로 52,0,1,0,1,1,1,1,1,0,0,1,2010,0,운영,5
274,경상남도 거제시 옥포대첩로 84(옥포동),34.8940101,128.6960571,경상남도,거제시,옥포대첩로 84(옥포동),0,1,0,1,1,1,1,1,0,0,1,0,0,운영,5
275,충청남도 청양군 청양읍 중앙로18길 32,36.456933,126.805414,충청남도,청양군,청양읍 중앙로18길 32,0,1,0,0,0,1,0,0,0,0,1,0,0,운영,1
